123755 53451.170  147.597  1.198  104.130  38.577  38.419  32.144  32.153  -0.000  250.345  0.001 
123756 53451.731  147.367  1.196  100.746  38.580  38.416  32.135  32.162  0.000  250.303  -0.001 
123757 53452.291  147.103  1.197  97.406  38.571  38.425  32.129  32.159  0.000  250.176  0.001 
123758 53452.851  147.147  1.197  93.967  38.577  38.416  32.123  32.156  -0.000  250.148  0.000 
123759 53453.411  146.707  1.196  90.660  38.583  38.425  32.123  32.159  0.000  250.119  -0.001 
123760 53453.971  146.608  1.198  87.265  38.574  38.428  32.126  32.141  0.001  249.950  0.000 
123761 53454.531  146.323  1.200  83.870  38.583  38.428  32.111  32.162  -0.000  250.020  -0.000 
123762 53455.091  145.674  1.198  80.552  38.574  38.431  32.114  32.153  0.000  249.964  -0.000 
123763 53455.651  145.421  1.199  77.124  38.565  38.425  32.108  32.162  0.000  249.978  -0.001 
123764 53456.211  144.806  1.198  73.829  38.577  38.431  32.095  32.159  0.000  250.006  0.001 
123765 53456.771  144.246  1.200  70.378  38.586  38.431  32.104  32.156  -0.000  249.992  -0.000 
123766 53457.331  143.454  1.201  67.072  38.580  38.425  32.092  32.159  0.000  250.020  0.001 
123767 53457.891  143.147  1.203  63.632  38.580  38.422  32.089  32.162  0.001  249.964  -0.001 
123768 53458.451  142.652  1.204  60.259  38.580  38.431  32.080  32.169  -0.001  249.978  0.001 
123769 53459.011  141.883  1.203  56.930  38.580  38.431  32.071  32.159  0.000  250.035  0.001 
123770 53459.571  141.136  1.200  53.480  38.586  38.428  32.080  32.162  -0.000  250.105  0.001 
123771 53460.131  140.180  1.198  50.173  38.580  38.431  32.074  32.166  -0.000  250.218  0.000 
123772 53460.691  139.619  1.201  46.756  38.593  38.428  32.068  32.169  0.000  250.204  0.000 
123773 53461.251  138.410  1.200  43.339  38.574  38.440  32.062  32.169  -0.000  250.218  -0.001 
123774 53461.811  137.037  1.199  40.010  38.596  38.434  32.053  32.162  0.000  250.176  0.000 
123775 53462.371  135.476  1.201  36.637  38.586  38.434  32.062  32.169  -0.000  250.261  -0.001 
123776 53462.931  133.498  1.199  33.286  38.580  38.425  32.056  32.162  -0.001  250.246  -0.001 
123777 53463.491  131.916  1.203  29.924  38.583  38.437  32.053  32.172  0.000  250.246  0.001 
123778 53464.051  130.212  1.203  26.485  38.589  38.431  32.050  32.166  -0.000  250.162  -0.002 
123779 53464.611  128.223  1.203  23.123  38.589  38.428  32.031  32.175  0.000  250.218  0.000 
123780 53465.171  126.399  1.207  19.783  38.593  38.437  32.037  32.150  0.000  250.289  -0.001 
123781 53465.731  124.421  1.205  16.366  38.589  38.431  32.037  32.166  0.000  250.345  -0.000 
123782 53466.291  122.751  1.207  13.048  38.593  38.440  32.043  32.175  -0.001  250.232  0.002 
123783 53466.851  122.146  1.210  9.609  38.593  38.437  32.047  32.159  0.000  250.246  -0.000 
123784 53467.411  122.388  1.211  6.280  38.589  38.443  32.031  32.175  -0.000  250.289  0.000 
123785 53467.971  122.685  1.207  2.929  38.593  38.434  32.037  32.172  0.001  250.176  -0.000 
123786 53468.531  138.333  1.205  42.351  38.593  38.434  32.037  32.175  -0.001  250.218  0.001 
123787 53469.091  180.971  1.211  322.598  38.589  38.437  32.025  32.166  0.001  250.331  0.000 
123788 53469.651  180.971  1.220  352.877  38.605  38.437  32.040  32.169  0.000  250.303  0.000 
123789 53470.211  180.971  1.238  349.604  38.586  38.446  32.031  32.181  -0.000  250.374  6.954 
123790 53470.771  180.971  2.168  346.220  38.589  38.440  32.028  32.175  -0.000  250.289  6.953 
123791 53471.331  180.971  2.159  342.858  38.593  38.446  32.031  32.184  -0.000  250.331  6.955 
123792 53471.891  180.971  2.153  339.574  38.602  38.443  32.034  32.166  0.001  250.289  6.956 
